REFERENCIA;DESCRIPCION;PRECIO;CATEGORIA
H14000;DOBLE CARNE+QUESO+TOCINETA+POLLO;14000;HAMBURGUESA
H13000;DOBLE CARNE+QUESO+TOCINETA ;13000;HAMBURGUESA
H12000;CARNE+QUESO+TOCINETA+POLLO;12000;HAMBURGUESA
H11000;CARNE+QUESO+POLLO;11000;HAMBURGUESA
H9000;CARNE+QUESO+TOCINETA;9000;HAMBURGUESA
H8000;CARNE+QUESO;8000;HAMBURGUESA
P9000;SALCHICHA+QUESO+POLLO+TOCINETA;9000;PERROS CALIENTES
P8000;SALCHICHA+QUESO+POLLO;8000;PERROS CALIENTES
P7000;SALCHICHA+QUESO+TOCINETA;7000;PERROS CALIENTES
P6000;SALCHICHA+QUESO;6000;PERROS CALIENTES
SN10000;JAMON+QUESO+POLLO+TOCINETA;10000;SANDWICH CUBANO
SN9000;JAMON+QUESO+POLLO;9000;SANDWICH CUBANO
SN7000;JAMON+QUESO+TOCINETA;7000;SANDWICH CUBANO
SN6000;JAMON-QUESO;6000;SANDWICH CUBANO
SL20000;FRANCESA+SALCHICHA+DOBLE QUESO+POLLO+TOCINETA+CARNE DE HAMBURGUESA+RIPIO;20000;SALCHIPAPA
SL15000;FRANCESA+SALCHICHA+QUESO+POLLO+TOCINETA+CARNE DE HAMBURGUESA+RIPIO;15000;SALCHIPAPA
SL12000;FRANCESA+SALCHICHA+QUESO+POLLO+TOCINETA+RIPIO;12000;SALCHIPAPA
SL10000;FRANCESA+SALCHICHA+QUESO+POLLO+RIPIO;10000;SALCHIPAPA
SL9000;FRANCESA+SALCHICHA+QUESO+TOCINETA+RIPIO;9000;SALCHIPAPA
SL7000;FRANCESA+SALCHICHA+QUESO+RIPIO;7000;SALCHIPAPA
P6000;PORCION DE PAPA;6000;PORCION DE PAPA
AP3000;ADICION POLLO DESMECHADO;3000;ADICIONES
AC3000;ADICION CARNE DE HAMBURGUESA;3000;ADICIONES
AJ500;ADICION 2 COPAS DE AJO;300;ADICIONES
AJ300;ADICION 1 COPA DE AJO;300;ADICIONES
AT2000;ADICION TOCINETA;2000;ADICIONES
AQ2000;ADICION QUESO;2000;ADICIONES
GL&M8000;GASEOSA LITRO Y MEDIO;8000;GASEOSA
GL6000;GASEOSA LITRO COCA-COLA;6000;GASEOSA
GV6000;JUGO DE L VALLE LITRO Y MEDIO;6000;GASEOSA
GP4000;GASEOSA PERSONAL;4000;GASEOSA
GH4000;HIT PERSONAL;4000;GASEOSA
